time,QA:1,force:1,pA:1,pos:1
0,0,11433.37721,4043730,0.007353829
0.03,0,11433.36403,4043725.346,0.007353829
0.06,0,11433.353,4043721.442,0.00735383
0.09,0,11433.35409,4043721.812,0.00735383
0.12,0,11433.36533,4043725.79,0.007353829
0.15,0,11433.3669,4043726.358,0.007353829
0.18,0,11433.35606,4043722.529,0.00735383
0.2,0,11433.35186,4043721.037,0.00735383
0.2,0,11433.35186,4043721.037,0.00735383
0.2,0,11433.35186,4043721.037,0.00735383
0.200000715,1.03153E-11,11433.35186,4043721.037,0.00735383
0.200002146,5.143E-11,11433.35186,4043721.037,0.00735383
0.20000325,1.11004E-10,11433.35186,4043721.037,0.00735383
0.200005238,2.78408E-10,11433.35187,4043721.038,0.00735383
0.200010253,1.03425E-09,11433.35189,4043721.045,0.00735383
0.200015269,2.25138E-09,11433.35194,4043721.065,0.00735383
0.200021636,4.4243E-09,11433.35209,4043721.115,0.00735383
0.200028003,7.26083E-09,11433.35234,4043721.204,0.00735383
0.20003437,1.072E-08,11433.35272,4043721.34,0.00735383
0.200040737,1.47635E-08,11433.35327,4043721.533,0.00735383
0.200047105,1.93552E-08,11433.354,4043721.792,0.00735383
0.200055398,2.61E-08,11433.35527,4043722.242,0.00735383
0.200063691,3.36486E-08,11433.35694,4043722.833,0.00735383
0.200074311,4.4383E-08,11433.35974,4043723.822,0.00735383
0.20008493,5.62093E-08,11433.36334,4043725.096,0.00735383
0.20009829,7.24634E-08,11433.36914,4043727.148,0.00735383
0.20011165,9.0079E-08,11433.37647,4043729.739,0.00735383
0.200128493,1.13957E-07,11433.38806,4043733.84,0.00735383
0.200145336,1.39438E-07,11433.40247,4043738.934,0.00735383
0.200166767,1.73777E-07,11433.42512,4043746.945,0.00735383
0.200188198,2.09891E-07,11433.45286,4043756.758,0.00735383
0.20021591,2.58654E-07,11433.49668,4043772.255,0.00735383
0.200243622,3.09243E-07,11433.54979,4043791.038,0.00735383
0.200280422,3.78477E-07,11433.63519,4043821.245,0.00735383
0.200317223,4.49414E-07,11433.738,4043857.608,0.00735383
0.200368211,5.49532E-07,11433.90989,4043918.401,0.00735383
0.2004192,6.51033E-07,11434.11645,4043991.462,0.00735383
0.200494858,8.03019E-07,11434.48768,4044122.76,0.00735383
0.200587712,9.9069E-07,11435.04967,4044321.533,0.00735383
0.200716011,1.25078E-06,11436.01994,4044664.72,0.00735383
0.200893614,1.61123E-06,11437.73472,4045271.243,0.00735383
0.20117468,2.18175E-06,11441.33021,4046543.018,0.00735383
0.201682924,3.2132E-06,11450.57176,4049812.022,0.007353831
0.202371099,4.60912E-06,11468.69115,4056221.797,0.007353833
0.203059275,6.00394E-06,11493.22769,4064902.27,0.007353839
0.20374745,7.39734E-06,11524.13382,4075836.975,0.007353849
0.204435626,8.78901E-06,11561.34996,4089005.171,0.007353868
0.205123801,1.01786E-05,11604.80449,4104381.892,0.007353899
0.205811977,1.15658E-05,11654.41399,4121937.988,0.007353944
0.206500152,1.29504E-05,11710.08337,4141640.192,0.007354008
0.207188328,1.4332E-05,11771.70605,4163451.185,0.007354097
0.207876503,1.57103E-05,11839.16417,4187329.671,0.007354216
0.208564679,1.70851E-05,11912.32886,4213230.459,0.007354369
0.209252854,1.84561E-05,11991.06044,4241104.559,0.007354565
0.210094713,2.01277E-05,12094.71635,4277806.837,0.007354872
0.210936572,2.17927E-05,12206.1811,4317278.941,0.007355265
0.211962697,2.38129E-05,12352.12354,4368967.889,0.007355882
0.212988822,2.58219E-05,12508.57601,4424388.583,0.007356678
0.214241994,2.82596E-05,12712.90086,4496781.923,0.007357938
0.215495166,3.06789E-05,12930.62671,4573941.726,0.007359568
0.217057023,3.36672E-05,13218.58423,4676021.024,0.007362217
0.218618879,3.66246E-05,13522.43084,4783771.549,0.007365668
0.220641539,4.04078E-05,13934.49963,4929967.976,0.007371562
0.222664199,4.41379E-05,14361.6164,5081593.017,0.007379339
0.225530319,4.93365E-05,14978.42393,5300742.997,0.007394249
0.228396439,5.44412E-05,15592.0679,5519027.03,0.007414508
0.231262559,5.94671E-05,16183.30404,5729648.622,0.007441038
0.234128678,6.44349E-05,16733.90691,5926158.269,0.007474723
0.236994798,6.937E-05,17227.29219,6102671.903,0.00751639
0.239860918,7.4301E-05,17649.06982,6254066.13,0.007566779
0.242727038,7.92588E-05,17987.50522,6376142.387,0.007626523
0.246195847,8.53401E-05,18273.22305,6480197.036,0.007712075
0.249664655,9.15581E-05,18415.51521,6533546.437,0.007812683
0.25,9.21671E-05,18421.64569,6536004.89,0.007823212
0.25,9.21679E-05,18421.64569,6536004.89,0.007823212
0.25,9.21679E-05,18421.64569,6536004.89,0.007823212
0.250663483,9.23257E-05,18422.08352,6536719.594,0.007844771
0.25199045,9.23913E-05,18401.75612,6530623.069,0.007889019
0.253317417,9.24417E-05,18339.10473,6509494.995,0.007935522
0.254644384,9.26029E-05,18234.9746,6473621.208,0.007984259
0.256556771,9.288E-05,18014.65396,6396917.296,0.00805835
0.258866365,9.33922E-05,17643.68587,6266899.522,0.008153691
0.261963097,9.42636E-05,16982.85047,6034208.41,0.008290929
0.26505983,9.5369E-05,16158.85955,5743126.484,0.008437899
0.269047966,9.69967E-05,14910.86655,5301176.921,0.008639041
0.273036102,9.8804E-05,13519.05495,4807345.287,0.008850293
0.277024238,0.000100646,12062.15641,4289710.059,0.009067645
0.281012374,0.000102454,10619.51328,3776636.397,0.009286896
0.28500051,0.000104108,9267.161115,3295338.876,0.009503881
0.288988645,0.000105559,8074.034967,2870489.867,0.009714694
0.292976781,0.00010672,7098.727717,2523034.555,0.009915883
0.296964917,0.00010757,6386.673984,2269173.493,0.010104624
0.300953053,0.00010806,5968.138434,2119649.434,0.010278852
0.304941189,0.000108197,5856.880909,2079291.139,0.010437349
0.308929325,0.00010797,6049.798324,2146915.374,0.010579784
0.312917461,0.000107416,6527.3714,2315518.526,0.010706708
0.316905597,0.000106555,7255.100222,2572815.229,0.010819494
0.320893733,0.000105451,8185.679334,2902028.873,0.01092024
0.324881869,0.000104153,9261.960089,3282946.923,0.011011631
0.328870005,0.000102742,10420.3701,3693123.423,0.011096777
0.332858141,0.000101286,11594.71821,4109206.133,0.011179026
0.336846277,9.98737E-05,12720.01198,4508261.561,0.011261774
0.340834413,9.85759E-05,13736.15653,4869058.099,0.011348279
0.344822549,9.74715E-05,14591.19248,5173192.438,0.011441485
0.348810685,9.66149E-05,15243.96786,5406026.665,0.01154387
0.35,9.64134E-05,15396.06012,5460433.264,0.011576408
0.35,9.64137E-05,15396.06012,5460433.264,0.011576408
0.351116961,9.62644E-05,15509.15733,5501010.658,0.011608424
0.353350883,9.60144E-05,15696.63433,5568472.592,0.011674388
0.355584805,9.58661E-05,15806.2218,5608355.969,0.011744281
0.358995473,9.58377E-05,15823.41907,5616019.922,0.011858769
0.363180045,9.61179E-05,15605.61183,5540565.004,0.012011993
0.367364616,9.67144E-05,15146.54954,5379236.32,0.012178588
0.371549188,9.75748E-05,14482.3436,5144706.565,0.012357106
0.375733759,9.86331E-05,13659.69547,4853473.591,0.012545445
0.379918331,9.98139E-05,12732.75242,4524748.38,0.012740995
0.384102902,0.00010104,11759.71151,4179240.146,0.012940814
0.388287474,0.000102237,10799.36028,3837908.917,0.013141807
0.392472046,0.000103337,9907.718359,3520749.074,0.01334092
0.396656617,0.000104282,9134.939964,3245666.374,0.013535311
0.400841189,0.000105025,8522.623853,3027505.474,0.013722518
0.405943176,0.000105611,8037.497889,2854331.661,0.013938217
0.411045163,0.00010582,7865.764284,2792434.471,0.014138147
0.41614715,0.00010565,8010.133425,2842757.426,0.014321487
0.421249137,0.00010513,8445.525888,2996378.666,0.0144889
